district_name,can_ho,dat,nha_o
Huyện Bình Chánh,39.5,19.1,42.2
Huyện Cần Giờ,,8.2,102.3
Huyện Củ Chi,,5.3,9.8
Huyện Hóc Môn,22.0,31.2,47.8
Huyện Nhà Bè,52.3,39.1,70.0
Quận 1,92.9,120.6,248.5
Quận 10,73.4,48.0,207.0
Quận 11,54.0,106.1,157.3
Quận 12,43.6,56.2,77.8
Quận 3,67.6,127.1,216.7
Quận 4,72.8,83.2,137.2
Quận 5,56.9,,214.3
Quận 6,49.0,124.8,134.8
Quận 7,61.3,112.4,117.1
Quận 8,47.8,58.0,123.8
Quận Bình Thạnh,68.9,121.7,147.1
Quận Bình Tân,42.2,67.0,96.7
Quận Gò Vấp,50.8,94.7,121.1
Quận Phú Nhuận,74.7,75.2,184.8
Quận Tân Bình,55.8,98.6,144.8
Quận Tân Phú,56.0,97.8,120.0
Thành phố Thủ Đức,53.6,65.8,91.0
