,pct_missing
ad_id,0.0
chotot_ad_id,0.0
run_id,0.0
crawled_at,0.0
subject,0.0
body,0.0
category_id,0.0
category_name,0.0
property_type,0.0
house_type,27.8
apartment_type,85.7
land_type,86.5
project_id,86.2
project_name,87.5
property_status,90.0
district_id,0.0
district_name,0.0
district_type,0.0
ward_id,0.0
ward_name,0.0
ward_name_new,0.0
street_name,0.7
street_id,48.6
street_number,81.5
address,0.0
is_main_street,48.6
latitude,0.1
longitude,0.1
price,0.0
is_price_not_valid,0.0
chotot_price_per_m2,0.0
size,0.0
size_unit_raw,0.0
living_size,62.9
width,31.2
length,33.5
rooms,14.5
toilets,36.8
floors,46.8
floor_number,96.7
block,96.3
unit_number,97.0
direction,74.8
balcony_direction,95.9
furnishing,57.0
legal_document,24.6
legal_group,24.6
account_id,0.0
is_company_ad,0.0
is_shop,0.0
is_verified,0.0
seller_live_ads,14.1
seller_sold_ads,52.6
number_of_images,0.0
has_video,0.0
is_sticky,0.0
listing_status,0.0
char_chua_co_tho_cu,0.0
char_chua_hoan_cong,0.0
char_dat_chua_chuyen_tho,0.0
char_dinh_quy_hoach,0.0
char_hem_xe_hoi,0.0
char_hien_trang_khac,0.0
char_khong_tho_cu,0.0
char_mat_tien,0.0
char_nha_nat,0.0
char_no_hau,0.0
char_tho_cu_1_phan,0.0
char_tho_cu_toan_bo,0.0
char_top_hau,0.0
list_time,0.0
orig_list_time,0.0
is_removed,0.0
days_on_market,49.5
is_bumped,0.0
post_year,0.0
post_month,0.0
price_billion,0.0
price_per_m2,0.0
n_duplicate_posts,0.0
geo_precision,0.0
size_dim_mismatch,0.0
price_segment,0.0
price_per_m2_living,62.9
total_floor_area_est,15.6
has_secure_legal,0.0
is_frontage,0.0
is_alley_address,0.0
has_project,0.0
txt_mat_tien,0.0
txt_hem_xe_hoi,0.0
rent_million_per_month,93.1
gross_rental_yield_pct,93.1
rooms_missing,0.0
toilets_missing,0.0
floors_missing,0.0
width_missing,0.0
length_missing,0.0
living_size_missing,0.0
legal_group_missing,0.0
direction_missing,0.0
furnishing_missing,0.0
latitude_missing,0.0
first_seen_at,0.0
n_snapshots,0.0
first_seen_price,0.0
price_change_pct,0.0
bieu_do_gia,0.2
area_chart_title,0.2
area_median_price_per_m2,0.2
area_mom_change_pct,0.2
area_yoy_change_pct,0.2
area_12m_growth_pct,0.2
area_growth_smoothed_pct,0.2
ref_group,0.0
ref_group_size,0.0
ref_median_price_per_m2,0.0
price_deviation_pct,0.0
is_price_outlier,0.0
outlier_type,0.0
is_investment_opportunity,0.0
